time,temperature,vibration,fault_label
0,50.882026172983835,0.0027798133985489897,0.0
1,50.29991202083044,0.008435756052558877,0.0
2,50.68803832284793,0.005676792725546659,0.0
3,51.41596680626206,0.01181641961506713,0.0
4,51.32319733738363,0.015487388443610792,0.0
5,49.990786598666,0.017836819429680097,0.0
6,51.03968668215783,0.021344649645846477,0.0
7,50.568539083088844,0.01061860644785136,0.0
8,50.66574666500274,0.01974485171009224,0.0
9,50.98862616059667,0.02067212062379773,0.0
10,50.91349277038834,0.013184296791745109,0.0
11,51.618344113542925,0.02453985661144535,0.0
12,51.31255794854072,0.014317059947213853,0.0
13,51.02439569366361,0.01812705116157393,0.0
14,51.207381346361174,0.002747147893952707,0.0
15,51.16433215029119,-0.0017141004464292912,0.0
16,51.74661313962031,-4.622176372319226e-05,0.0
17,50.88908567856957,-0.013504263854679916,0.0
18,51.13038148170365,-0.007775580912766579,0.0
19,50.51925221803655,-0.011751061658839794,0.0
20,49.63280251890864,-0.010057723498448062,0.0
21,51.190018664369056,-0.01392630874244628,0.0
22,51.24071450324934,-0.021119428227215496,0.0
23,50.3746227019735,-0.025361303346520515,0.0
24,51.81034049254495,-0.01136176607000033,0.0
25,49.87128930680458,-0.023139060596088522,0.0
26,50.53838063047219,-0.022896715899750394,0.0
27,50.33378795522091,-0.02087957004842697,0.0
28,51.101377757335136,-0.007038806179763097,0.0
29,50.973928714164124,-0.011886544610399391,0.0
30,50.21859372090832,-0.009356832294881521,0.0
31,50.230661922234376,-0.0009733389268331913,0.0
32,49.49773298275736,0.0012962605442234177,0.0
33,48.851856071744784,0.002840349966336339,0.0
34,49.57050282331009,0.013652224357664576,0.0
35,49.72739125686237,0.018466309434865755,0.0
36,50.17262489706901,0.020799944821682397,0.0
37,50.071353783483715,0.021808760264538533,0.0
38,49.19447870035331,0.02137152109627991,0.0
39,49.16108246552836,0.011091426907682955,0.0
40,48.718921022158526,0.02813341896435248,0.0
41,48.471713920346104,0.020324557185383216,0.0
42,48.27528913227391,0.020132760299768817,0.0
43,50.059221760866436,0.02026275357221928,0.0
44,48.79357183523466,0.018865106372245193,0.0
45,48.80343273152931,0.010334359761381095,0.0
46,48.37991131634157,0.006635529078483186,0.0
47,49.38882192035186,-0.002500612878231441,0.0
48,48.196886467385184,-0.003321086868765827,0.0
49,48.91117724726868,-0.01160038888911034,0.0
50,48.593342444740024,-0.01448012487849687,0.0
51,49.2676365666019,-0.018465365763441828,0.0
52,48.861142775495416,-0.01733664883669951,0.0
53,48.57741646571489,-0.013210042492656095,0.0
54,49.213144398274686,-0.003763850734878931,0.0
55,49.50862560969482,-0.019052305943274502,0.0
56,49.40199197331926,-0.02632562002180694,0.0
57,49.600550406272255,-0.012061653864012232,0.0
58,49.21823677374576,-0.017960491281754296,0.0
59,49.4447527521762,-0.01717354466542741,0.0
60,49.3843542779131,-0.009682210970393422,0.0
61,49.638060914957634,-0.01336770864251768,0.0
62,49.51033745616027,-0.0021997676889231542,0.0
63,49.15367259931851,0.00023058332842699456,0.0
64,50.20526227597737,0.005122086036108158,0.0
65,50.01422951998368,0.010310422007578672,0.0
66,49.49644219003036,0.012178931580348523,0.0
67,50.63624104837949,0.014889208219613434,0.0
68,50.04046416894699,0.018604808892119656,0.0
69,50.60441246228627,0.02095091651973773,0.0
70,51.021531879807554,0.01465473481232112,0.0
71,50.79346049550458,0.01281057676089999,0.0
72,51.3633682061208,0.019004965270124477,0.0
73,50.23302371045174,0.010732145993139527,0.0
74,51.0998789164004,0.01620269870211468,0.0
75,50.59559493130458,0.017699491181553888,0.0
76,50.532521097440544,0.012763532136656191,0.0
77,50.69874340149479,0.0008215151007866794,0.0
78,50.84276707931092,-0.002146239213798748,0.0
79,51.02702401295465,-0.00019663052954985573,0.0
80,50.406783326231704,-0.007764555358968856,0.0
81,51.42030305432218,-0.011031716203229857,0.0
82,51.17356177654501,-0.009777601240719235,0.0
83,50.13404999061768,-0.02050347503797423,0.0
84,51.59872500498608,-0.019757514221186004,0.0
85,51.74643170063878,-0.023228362218014144,0.0
86,51.32378688345394,-0.025153648811008702,0.0
87,50.573006812176004,-0.024138578552768478,0.0
88,50.04954088213649,-0.015589579111630421,0.0
89,51.02824671992345,-0.01708494164229952,0.0
90,50.21053001175517,-0.019415548079608897,0.0
91,50.93032089754057,-0.013252164486090666,0.0
92,50.32702740313867,-0.01688534897704876,0.0
93,50.61277394174892,-0.008606037272650746,0.0
94,50.202958624040555,0.009757159856769086,0.0
95,50.278135463634165,0.0025463249449302937,0.0
96,49.83092322913743,0.010524593211549936,0.0
97,50.62117462054197,0.010133873427431574,0.0
98,49.69697691709988,0.015380118577571756,0.0
99,49.74345878794703,0.019589765198537976,0.0
100,50.39755423763876,0.0127358220269202,0.0
101,48.70104982053589,0.01936172906896973,0.0
102,48.664882813163594,0.027890183974935825,0.0
103,49.71701254431542,0.01570063114210587,0.0
104,48.58561182835727,0.01574370541288371,0.0
